id;prj;sec;dim;quality;rem_len;marking_text;used_in
166;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-80-L2204;05003-RP180X11-A40-7
167;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-81-L2204;05003-RP180X11-A40-8
168;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-82-L2204;05003-RP180X11-A40-9
169;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-83-L2204;05003-RP180X11-A40-10
170;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-84-L2204;05003-RP180X11-A40-2
171;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-85-L2204;05003-RP180X11-A40-12
172;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-86-L2204;05003-RP180X11-A40-13
173;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-87-L2204;05003-RP180X11-A40-14
174;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-88-L2204;05003-RP180X11-A40-15
175;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-89-L2204;05003-RP180X11-A40-16
176;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-90-L2204;05003-RP180X11-A40-17
177;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-91-L2204;05003-RP180X11-A40-18
178;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-92-L2204;05003-RP180X11-A40-19
179;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-93-L2204;05003-RP180X11-A40-20
180;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-94-L2204;05003-RP180X11-A40-21
181;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-95-L2204;05003-RP180X11-A40-22
182;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-96-L2204;05003-RP180X11-A40-23
183;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-97-L2204;05003-RP180X11-A40-24
184;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-98-L2204;05003-RP180X11-A40-25
185;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-99-L2204;05003-RP180X11-A40-26
